Category,Commons,Link
speech,"File:Response to the Lewinsky Allegations (1-26-98, WJC).ogg",https://upload.wikimedia.org/wikipedia/commons/c/c1/Response_to_the_Lewinsky_Allegations_%281-26-98%2C_WJC%29.ogg
speech,"File:Dwight D. Eisenhower's first Inaugural Address, 1953-01-20.ogg",https://upload.wikimedia.org/wikipedia/commons/3/3e/Dwight_D._Eisenhower%27s_first_Inaugural_Address%2C_1953-01-20.ogg
speech,File:Eisenhower farewell address.ogg,https://upload.wikimedia.org/wikipedia/commons/9/90/Eisenhower_farewell_address.ogg
speech,File:Gettysburg by Britton.ogg,https://upload.wikimedia.org/wikipedia/commons/a/a1/Gettysburg_by_Britton.ogg
speech,File:Taft - The Farmer and the Republican Party.ogg,https://upload.wikimedia.org/wikipedia/commons/0/05/Taft_-_The_Farmer_and_the_Republican_Party.ogg
speech,File:Trumann hiroshima.ogg,https://upload.wikimedia.org/wikipedia/commons/2/24/Trumann_hiroshima.ogg
speech,File:Harry Truman Announcing Surrender Of Japan.ogg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Harry_Truman_Announcing_Surrender_Of_Japan.ogg
whale,File:Akhumphi1x.ogg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Akhumphi1x.ogg
train,File:Keikyu kaitoku 2124 shinagawa.ogg,https://upload.wikimedia.org/wikipedia/commons/4/46/Keikyu_kaitoku_2124_shinagawa.ogg
music,File:RideOldBuckToWater.ogg,https://upload.wikimedia.org/wikipedia/commons/9/9c/RideOldBuckToWater.ogg
music,File:00 Jazz Violin Solo.ogg,https://upload.wikimedia.org/wikipedia/commons/3/37/00_Jazz_Violin_Solo.ogg
music,File:01 Il lungo addio - Non sarà.ogg,https://upload.wikimedia.org/wikipedia/commons/9/91/01_Il_lungo_addio_-_Non_sar%C3%A0.ogg
music,File:01 Lentitud.ogg,https://upload.wikimedia.org/wikipedia/commons/7/70/01_Lentitud.ogg
music,File:01 The marching.ogg,https://upload.wikimedia.org/wikipedia/commons/e/e7/01_The_marching.ogg
music,File:02 Eivind Aarset - Quicksilver Dream.ogg,https://upload.wikimedia.org/wikipedia/commons/3/31/02_Eivind_Aarset_-_Quicksilver_Dream.ogg
